[0] #InstanceTicker (Type-0) Ver.201912081130.tsv - Fedplaset is (c)weepjp  MIT License.	ScreenName	ServerName	FontColor	BGColor	ImgPath	ImgWidth	ImgLicense	WikiURL	ID	ImgLicenseURL	AdminsVoiceURL	no12	no13
1	d.c-cha.cc	d.c-cha.cc	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		51				
1	mastodon.cardina1.red	mastodon.cardina1.red	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		52				
1	catdon.life	catdon.life	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		53				
1	catgram.jp	catgram.jp	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		54				
1	jitakurack.chotto.moe	jitakurack.chotto.moe	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		56				
1	mastodon.chotto.moe	mastodon.chotto.moe	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		57				
1	claris.cf	claris.cf	#003	#ffc7c8	https://wee.jp/o/claris_cf.png	17	管理者提出	https://ja.mstdn.wiki/Claris.cf	59	https://archive.fo/Okzug	https://archive.fo/Okzug		
1	claristdon.net	claristdon.net	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		60				
1	comm.cx	comm.cx	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		61				
1	comm.cx	gs.comm.cx	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		62				
1	comm.cx	pl.comm.cx	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		63				
1	mastodon.cosmicanimal.jp	mastodon.cosmicanimal.jp	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		858				
1	mstdn.cosplayer.com	mstdn.cosplayer.com	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		64				
1	cpper.xyz	cpper.xyz	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		65				
1	mastodon.crazynewworld.net	mastodon.crazynewworld.net	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		66				
1	crypto-don.net	crypto-don.net	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		819				
1	mstdn.cuezakuisgodofthe.world	mstdn.cuezakuisgodofthe.world	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		67				
1	cute2d.xyz	cute2d.xyz	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		68				
1	cutls.com	cutls.com	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		69				
1	darui.work	darui.work	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		70				
1	mstdn.dasoran.net	mstdn.dasoran.net	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		71				
1	deny.club	deny.club	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		72				
1	devil-children-alitaso.com	devil-children-alitaso.com	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		814				
1	mstdn.dgm.pw	mstdn.dgm.pw	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		73				
1	digineko.jp	digineko.jp	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		74				
1	mastodon.diglateam3.com	mastodon.diglateam3.com	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		75				
1	djanzu.tokyo	djanzu.tokyo	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		76				
1	doll.social	doll.social	#fff	#26a	https://wee.jp/o/doll.png	17	依頼者:tateisu氏(素材:いらすとや)		77	https://www.irasutoya.com/2012/12/blog-post_653.html	https://discordapp.com/channels/480731529073524736/519416040283701252/521146166172188673		
1	dozine.xyz	dozine.xyz	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		79				
1	svrdn.drillion.net	svrdn.drillion.net	#fff	#26a	https://wee.jp/i/1.png	18	代替icon		80				
1	dtp-mstdn.jp	dtp-mstdn.jp	#fff	#26a	https://wee.jp/i/1.png	18	代替icon	https://ja.mstdn.wiki/DTP-Mstdn.jp	81				
1	てんどん	don.ebifly.xyz	#fff	#35D060	https://wee.jp/i/1.png	18	代替icon		83		https://archive.fo/YvkfK		
