id 	sns	sc	fav	lang	(c)2021 #InstanceTicker Released under the MIT license.	domain	sname	text	width	tcolor	bcolor	scolor	bicon	sicon	iicon	entry	exity	webp	avif
11	0							Bookwyrm	14	#1eb	#03c	#03c						data:image/webp;base64,UklGRjgBAABXRUJQVlA4WAoAAAAQAAAADQAADQAAQUxQSLsAAAABgHPb2jFX9zMzMSonnW27sm27ZJfSqlLaRumUZml7bPMJ3oiYAKBFzks+uryMgRh7hxy6kt4e5p5kBxaTeFxVtK9F7plgOM75g5NvWTTIlSIi99D5XTQ0wbmXKPCze2nbYgLFCvy/6+DgBdEPOiQeh+gBQOCOjqDd6w0He7tW6T+dDudKstY3TvA/l46Neo/b63IC4x3LqOy0DAlBq3sOAMblFb21j6fRaOm1+pBxzWyimXu3TXZEGAIAAFZQOCBWAAAAEAIAnQEqDgAOAAgAoiWIAnQA6TLH8WRGwAD+VSf48v9W2IzsNahNCaSrfFeDpbIXRnJgo5kQ978kJ+ZiAYdJ9B+tYZ8GaZfPSq43OpsStYBQtb2VwAA=	
12	0							Socialhome	14	#444	#2cb	#2cb						data:image/webp;base64,UklGRhgBAABXRUJQVlA4WAoAAAAQAAAADQAADQAAQUxQSLUAAAANgGJt2zLlfr9xn8Hd3d1pk2hOprIZdkAj0sjuTnJ3d7dvbBMRkUB0dV/dydD45TuQUumPCwRSe1OnZ3ev+8t8AGLM7q44Waw+mP4SDahArN8z0GrZ/cw3yeNulutzw9pmWv+otMj1RkXMx4jFRyBgBfWO8IlWAQIK2Rt+sHkRBEDntbtfBv+/zH9oJdrpQT3fjP5WOZa/cTXEA5YMXWTd/Ja/6xcBdyWgBL39AAT+jUT+DAIAAFZQOCA8AAAAMAIAnQEqDgAOAAVAeiWwAnR/ABZAy47p5gAA/nS9jJ0QqvEKsEJ65v7dBHRM9QLObPxdrHjMTUgmYZAA	
13	0							Dolphin / Meidolphin	14	#ddd	#346	#346						data:image/webp;base64,UklGRgABAABXRUJQVlA4WAoAAAAQAAAADQAADQAAQUxQSL4AAAABkHPbtrHnqk8R27adzra7VKlS2rZR2mbl1LZt27afnXyIiAngDDvOjJt8et8osuAk4s3G1ycDMMxOED+xeuO/C82B3Kqj//h66g7OWHUP/QSwnbLxEClkFJPX9Q1se3D7NpkRcejtM/gMZ2GXlGQhIjpgMK4vntmpQH/3faNGuvipjuUf0V/IsdtAB8c/tOdQ6XuMyyA1fVNeYvG8GPdfAW4GpmN5iDi8FhNKnwGsWRERsRr5GGQcvfY4sxABVlA4IBwAAABQAQCdASoOAA4AD8DOJQBOgCgAAPxqwYb8wAAA	
14	0							Plume	14	#fff	#659	#659						data:image/webp;base64,UklGRt4AAABXRUJQVlA4WAoAAAAQAAAADQAADQAAQUxQSH4AAAABcFTbttOc4ZeAgPRebCADCxgATczS6/SDhfSi4f0PvERDREwAv02QHDKtMWhHx4c7KLNFYS/OPZLafC2ufgyA+Vpc/RIZGK3EqbYNhBenFwPonEWTRQMGuVNlPQPaVpH1HDDx0zknl9UcIP26p83P4Yj6wX3j9qCDnh1Sw59WUDggOgAAALABAJ0BKg4ADgAKQLglkAACxpIDbAAA9ybdAZk4YeuVywM3cd3SsROxw0iewAccDCaL+5EF9NkAAAA=	
15	0							Friendica	14	#fc2	#17a	#17a						data:image/webp;base64,UklGRr4AAABXRUJQVlA4WAoAAAAQAAAADQAADQAAQUxQSE0AAAABcFzbttKs9avCndIYOox15F6QW5IW3F4oISImAGGKY321VQqR3RU4s9b1AbyGPujWurDqqPsd9vjncYQHaxxYRK834EVCYtI2X9tMRgBWUDggSgAAABACAJ0BKg4ADgAHQJYlsAJ0ARB0wV3pWgAA/gM+mx82k6jinp5AgWhg/8gxyuxv0lfukTqy+SEKlT4prqfNJzICGk7u/EUVdwAA	
16	0							Guppe	24	#833	#eef	#fff						data:image/webp;base64,UklGRiQBAABXRUJQVlA4WAoAAAAQAAAAFwAADQAAQUxQSLYAAAABgGPb2rHn/oqtznZnlKzMOhWH8KcyepUZg23btm3jBp+GEBETAKmqzoMdAHCKKdZDquP8wclyAlSJUw+slRI9/U0OBruX3ZKfef+Mg7L01aWrJDlfskWSH7kwDTk5eaP4OwXnPFH/RSVLgaDTb5HHT7GrMAC6iPHL/YO3rzm/qEaRCUsIGlsbWaTnaJH8LvBZpBYSd5gQOPWF7OyXfz1m8gzr/7UZyYN9zSU5YqkAdAkN44VaAFZQOCBIAAAAMAMAnQEqGAAOAD+92uBmPjgtpzAIA8A3iWwArDlAAiZyAAC+JdsFlcarb9nnc8BPY8kNO9PzhGzMl0Vznu43Ru5WeIQKIUAA	
17	0							takahe	14	#eee	#234	#234						data:image/webp;base64,UklGRoAAAABXRUJQVlA4WAoAAAAQAAAADQAADQAAQUxQSCUAAAABDzD/ERFCUdtGUvZ+LoSBMrT2N8w3NCL6HwCP3xwer2GYphQFAFZQOCA0AAAAkAEAnQEqDgAOAAkArCWwAnQAfz54AP0fidf6qc7kurXKoz0F760hnQnHK9KjOoxVuJ8IAA==	
18	0							Prismo	14	#fff	#1ab	#1ab						data:image/webp;base64,UklGRuoAAABXRUJQVlA4WAoAAAAQAAAADQAADgAAQUxQSHwAAAABcGLb1rI8XNJPdcsQrXpmCE7yxAA8s6hOJzpDkER2d08sHg5DiIgJgL9qtF/J213jF7IGYkv+gVNARKyL3rAT1xfMEQBADVzw7TVOB7Jtgx8Pbpq5h18uLAP8euwq7j6dS3Zg65L9GyLOUiYCAICiCDY7ISUdPnMlJPgnVlA4IEgAAAAQAgCdASoOAA8ACECmJQAAVfNmeuJW6egAAP0huh+yUztXoOLjEQZanHu+jXhq4XlBYuXogt4vYCLqA+joX6ZDFvs+6LpugAA=	
19	0							Juick	14	#fff	#069	#079						data:image/webp;base64,UklGRkoAAABXRUJQVlA4ID4AAABQAgCdASoOAA4AB0CWJZACxC8AF7aGfzEengAA/uqPqK9RhVgk36e04RWIYgu2j8wXFLvIYjr4rUTA4doAAA==	
20	0							Mitra	14	#333	#fff	#fff						data:image/webp;base64,UklGRngAAABXRUJQVlA4IGwAAADwAQCdASoOAA4ABkCKJaQAD4tMo90nAAAA/tgfcGPpJy4Hf1/d13rbyihoNFi2YtL8/YSde3MR97WZtfV6VSC41RM9cnZnzsFuP2nZkj2zAvbHog1b1g/LZn7VW0Bl+VN0jGaaZs+YyV8igAA=	
